Cluster,Progress,Score,Phase,Engagement,Action_ID,Action_Name,Q_Value
2,0.25,1.0,1,2,11,post_forum (current),2.6873226203299585
2,0.25,1.0,1,2,12,view_content (future),2.5118133858189164
2,0.25,1.0,1,2,3,review_quiz (past),2.84523115892386
2,0.25,1.0,1,2,9,submit_quiz (current),2.281848848793849
2,0.25,1.0,1,2,10,review_quiz (current),3.732238131214872
2,0.25,1.0,1,2,8,attempt_quiz (current),3.581950016064787
2,0.25,1.0,1,2,5,view_assignment (current),2.2337955683162147
2,0.25,1.0,1,2,1,view_content (past),2.743390504927689
2,0.25,1.0,1,2,2,attempt_quiz (past),1.2576578810520802
2,0.25,1.0,1,2,0,view_assignment (past),2.01388853894649
4,0.5,1.0,0,1,5,view_assignment (current),0.16
4,0.5,1.0,0,1,10,review_quiz (current),0.17216
4,0.5,1.0,0,1,6,view_content (current),0.22162806712593575
4,0.5,1.0,0,1,1,view_content (past),0.05684373310157111
4,0.5,1.0,0,1,7,submit_assignment (current),2.032545229226557
2,0.25,1.0,0,2,11,post_forum (current),0.244470625
2,0.25,1.0,0,2,12,view_content (future),1.2937896834336169
2,0.25,1.0,0,2,9,submit_quiz (current),6.579093589129589
2,0.25,1.0,0,2,3,review_quiz (past),1.0279480877567848
2,0.25,1.0,0,2,5,view_assignment (current),0.9919326450758186
2,0.25,1.0,0,2,8,attempt_quiz (current),1.9395281074526065
2,0.25,1.0,0,2,10,review_quiz (current),0.8055979032911293
2,0.25,1.0,0,2,1,view_content (past),1.3060871495917783
2,0.25,1.0,0,2,2,attempt_quiz (past),1.942796647648959
2,0.25,1.0,0,2,4,post_forum (past),0.6372388475075387
2,0.25,1.0,0,2,6,view_content (current),0.8029480877567847
2,0.25,1.0,0,2,13,attempt_quiz (future),1.5056907283529115
2,0.25,1.0,0,2,14,post_forum (future),0.7178324636143798
4,0.75,1.0,0,1,7,submit_assignment (current),0.8108956200781021
4,0.75,1.0,0,1,3,review_quiz (past),0.16159896512346303
4,0.75,1.0,0,1,0,view_assignment (past),0.22162806712593575
4,0.5,0.75,0,2,9,submit_quiz (current),1.3237603090457069
4,0.5,0.75,0,2,2,attempt_quiz (past),1.6621636875261774
4,0.5,0.75,0,2,1,view_content (past),0.24701671256471347
4,0.5,0.75,0,2,10,review_quiz (current),0.48109811961209265
4,0.5,0.75,0,2,5,view_assignment (current),0.6552744615096325
4,0.5,0.75,0,2,7,submit_assignment (current),1.337820793007628
4,0.5,0.75,0,2,4,post_forum (past),1.0847171294878362
4,0.5,0.75,0,2,13,attempt_quiz (future),8.393168907498628
4,0.5,0.75,0,2,0,view_assignment (past),0.13450767696322843
4,0.5,0.75,0,2,11,post_forum (current),0.8001166875528752
4,0.5,0.75,0,2,14,post_forum (future),0.01450767696322841
4,0.5,0.75,0,2,8,attempt_quiz (current),1.4242500086524723
4,0.5,0.75,0,2,6,view_content (current),0.2704800603801835
2,0.25,0.75,0,2,8,attempt_quiz (current),-0.05
2,0.25,0.75,0,2,13,attempt_quiz (future),0.25181305137717613
2,0.25,0.75,0,2,3,review_quiz (past),0.12392223988083173
2,0.25,0.75,0,2,4,post_forum (past),0.8312466093671442
2,0.25,0.75,0,2,5,view_assignment (current),0.27392223988083175
2,0.25,0.75,0,2,0,view_assignment (past),0.12602261278867902
2,0.25,0.75,0,2,12,view_content (future),0.48921504404046434
2,0.25,0.75,0,2,2,attempt_quiz (past),0.2964754291838441
2,0.25,0.75,0,2,9,submit_quiz (current),1.8520414087943686
2,0.25,0.75,1,2,11,post_forum (current),1.159660476291187
2,0.25,0.75,1,2,9,submit_quiz (current),9.326396115686254
2,0.25,0.75,1,2,2,attempt_quiz (past),2.7045862667057516
2,0.25,0.75,1,2,12,view_content (future),1.1892102144458176
2,0.25,0.75,1,2,14,post_forum (future),1.3979885247127983
2,0.25,0.75,1,2,1,view_content (past),2.2967084568507774
2,0.25,0.75,1,2,8,attempt_quiz (current),1.014724951208608
2,0.25,0.75,1,2,10,review_quiz (current),1.236748213652749
2,0.25,0.75,1,2,5,view_assignment (current),1.2046659267457216
2,0.25,0.75,1,2,0,view_assignment (past),1.3152136961742582
2,0.25,0.75,1,2,4,post_forum (past),0.6022715505864387
2,0.25,0.75,1,2,3,review_quiz (past),1.6281558683478945
2,0.25,0.75,1,2,6,view_content (current),1.0524271722122611
2,0.25,0.75,1,2,7,submit_assignment (current),0.7402036576645289
2,0.25,0.75,1,2,13,attempt_quiz (future),0.3593840828897476
4,0.75,0.75,0,2,9,submit_quiz (current),0.7172062758319528
4,0.75,0.75,0,2,6,view_content (current),0.2
4,0.75,0.75,0,2,2,attempt_quiz (past),0.9273692155287302
4,0.75,0.75,0,2,14,post_forum (future),0.2704800603801835
2,0.5,1.0,1,2,13,attempt_quiz (future),0.35000000000000003
2,0.5,1.0,1,2,7,submit_assignment (current),2.072
2,0.5,1.0,1,2,4,post_forum (past),0.3165
2,0.5,1.0,1,2,5,view_assignment (current),0.3165
2,0.5,1.0,1,2,3,review_quiz (past),0.2
4,0.75,0.75,1,2,8,attempt_quiz (current),3.3284394219681657
4,0.75,0.75,1,2,0,view_assignment (past),0.4849437156695052
4,0.75,0.75,1,2,4,post_forum (past),0.30003410061705077
4,0.75,0.75,1,2,6,view_content (current),0.08
4,0.75,0.75,1,2,12,view_content (future),0.40750454868870767
4,0.75,0.75,1,2,2,attempt_quiz (past),0.42999195628834125
4,0.75,0.75,1,2,14,post_forum (future),0.30003410061705077
4,0.75,0.75,1,2,7,submit_assignment (current),1.7983732799588712
4,0.75,0.75,1,2,13,attempt_quiz (future),3.7494426165388752
4,1.0,0.75,1,2,13,attempt_quiz (future),1.4954940556681495
4,1.0,0.75,1,2,9,submit_quiz (current),0.64
2,0.75,1.0,1,2,8,attempt_quiz (current),0.2
2,0.5,0.75,1,2,13,attempt_quiz (future),0.5483700368376908
2,0.5,0.75,1,2,14,post_forum (future),0.09525
2,0.5,0.75,0,2,14,post_forum (future),-0.05
2,0.5,1.0,0,2,4,post_forum (past),0.573375
