userid,total_events,first_event,last_event,event_diversity,num_courses,active_days,avg_grade,grade_std,num_assessments,cluster,archetype
8813,-0.6434311062830321,1666083523,1674207392,-0.3249490954479132,-0.710500267966459,-0.8457517515658511,-0.992829021678621,0.8617598557485521,0.3710009550372112,0,Efficient Learner
8817,-1.1123450981458536,1670309955,1672678641,-1.9765601173378404,-2.382797336335352,-2.2690849935265756,0.482299759750265,-1.1435123177249724,-1.331111376971584,0,Efficient Learner
8819,-0.9660439326846532,1664816019,1671383301,-0.6002175990962344,-2.0483379226615734,-1.538184139546744,0.9872988020412352,-1.0714917686499816,-1.2309871221475377,0,Efficient Learner
8822,-0.2720512247276775,1664216321,1674227389,-0.2331929275651394,-0.0415814406189019,-0.0379139655881428,-1.0526315398446568,0.8585040901830389,0.3710009550372112,1,Struggling but Trying
8824,-0.4020967051376333,1665822438,1674211251,-0.3249490954479132,-0.0415814406189019,-0.7303463535690357,-0.7336847762924653,1.277755633898832,0.3710009550372112,1,Struggling but Trying
8826,-0.5283908736126866,1665130796,1674215906,-0.6919737669790081,0.2928779730548767,-0.4225986255775277,1.0332078058858687,-1.710452444804617,-0.4299930835551631,0,Efficient Learner
8830,-0.9197777521541882,1667132724,1669505782,-0.6919737669790081,-2.0483379226615734,-2.2690849935265756,1.3660480837594626,-1.675420057319338,-1.2309871221475377,0,Efficient Learner
8834,-1.037318859447802,1667654817,1669238207,-0.9672422706273294,-2.382797336335352,-2.2690849935265756,0.9872988020412352,-1.0714917686499816,-1.2309871221475377,0,Efficient Learner
8836,-1.0548249818106807,1668413995,1669563767,-0.9672422706273294,-2.0483379226615734,-2.2690849935265756,0.9872988020412352,-1.0714917686499816,-1.2309871221475377,0,Efficient Learner
8838,1.4335452683413583,1662860557,1672011224,0.5926125833798241,0.6273373867286552,-0.4225986255775277,0.1557917582690345,-0.0488519852713242,1.3722435032776792,1,Struggling but Trying
8840,-0.97104568193119,1664881397,1669533699,-0.5084614312134607,-2.0483379226615734,-2.2690849935265756,0.8610490414684925,-1.4067851861442355,-1.2309871221475377,0,Efficient Learner
8843,-0.9535395595683114,1667654812,1674552760,-0.5084614312134607,-2.0483379226615734,-1.4227787415499284,1.1135485626139772,-1.3084579989517875,-1.2309871221475377,0,Efficient Learner
8845,-0.472121194589148,1662913860,1674502220,-0.2331929275651394,-0.0415814406189019,0.6929868883916885,0.23881807864569,0.2910483868353892,-0.1296203190830226,1,Struggling but Trying
8846,-0.4158515155656094,1662985374,1673959918,0.5926125833798241,0.961796800402434,0.4237076263991191,0.7979241611821211,-0.1679670383228197,-0.3298688287311163,1,Struggling but Trying
8850,-0.4596168214728061,1662985361,1673960493,-0.0496805917995919,0.6273373867286552,0.4237076263991191,0.1306039981547679,0.5056742554925071,-0.1296203190830226,1,Struggling but Trying
8851,-0.1582614293689662,1663095003,1673950547,0.8678810870281454,1.2962562140762124,0.3467706944012421,-1.0526315398446568,0.2244187299750302,0.3710009550372112,1,Struggling but Trying
8854,-0.5984153630642012,1665482419,1674496683,0.5008564154970504,-0.0415814406189019,-0.4610670915764662,0.8319144813363212,-0.6339566264947801,-0.2297445739070694,0,Efficient Learner
8855,-0.1795188636667474,1665409716,1674312403,-0.8754861027445556,0.2928779730548767,-0.4995355575754047,0.813705381253714,0.2727841404347793,-0.7303658480273034,0,Efficient Learner
8856,2.1963120284382143,1663089090,1674597285,0.3173440797315029,0.2928779730548767,0.65451842239275,1.0293820555654825,-1.256763284474077,-0.6302415932032567,1,Struggling but Trying
8857,2.1963120284382143,1662448806,1674484636,1.4184180943247875,0.6273373867286552,0.8853292183863809,-0.8117602861203455,0.8771665525698077,2.2733617966941004,1,Struggling but Trying
8860,-0.4446115737331958,1664356436,1674591711,-0.8754861027445556,-1.3794190953140162,0.0774914324086726,-1.719440570238112,0.3916066841042802,2.2733617966941004,1,Struggling but Trying
8873,-1.0473223579408757,1667553501,1670486430,-1.5177792779239718,-2.0483379226615734,-2.2690849935265756,0.8610490414684925,0.2852146526324681,-1.431235631795631,0,Efficient Learner
8877,-1.0148109878383866,1663335579,1672819882,-0.7837299348617819,-2.382797336335352,-0.2687247615817738,1.6185476049049474,-2.042382115686888,-1.2309871221475377,0,Efficient Learner
8885,-1.082334602666633,1663136493,1673947441,-1.9765601173378404,-1.3794190953140162,0.3467706944012421,1.23979832318672,0.2852146526324681,-1.431235631795631,0,Efficient Learner
8887,-1.1123450981458536,1662975985,1672839899,-2.160072453103388,-2.382797336335352,-0.0763824315870813,0.9872988020412352,-0.7192815980928773,-1.2309871221475377,0,Efficient Learner
8889,-1.101091162341146,1665559013,1667905593,-1.9765601173378404,-2.382797336335352,-2.2690849935265756,0.8610490414684925,0.2852146526324681,-1.431235631795631,0,Efficient Learner
8890,-0.5859109899478593,1665414945,1674519957,0.8678810870281454,0.6273373867286552,-0.4225986255775277,0.7768825344199974,-0.3599658138581914,0.2708767002131644,1,Struggling but Trying
8901,-0.8697602596888205,1662957335,1669293657,-0.5084614312134607,-2.0483379226615734,-1.6535895375435594,1.3660480837594626,-1.675420057319338,-1.2309871221475377,0,Efficient Learner
8941,-0.9735465565544584,1665484114,1669283374,-0.7837299348617819,-0.3760408542926805,-2.2690849935265756,-0.965859258584134,0.8021830537649768,0.1707524453891176,0,Efficient Learner
8950,-0.6646885405808133,1666866836,1674596714,-0.5084614312134607,-0.3760408542926805,-1.0380940815605435,-0.2422640835367787,1.1408738659758813,0.7714979743333984,0,Efficient Learner
8951,-0.6796937883204236,1664644482,1674505856,-0.6002175990962344,-0.3760408542926805,-0.0763824315870813,0.0494434377865763,1.13741800469528,0.5712494646853049,1,Struggling but Trying
8952,-0.7709757120697195,1667728490,1674369366,-0.4167052633306869,-0.3760408542926805,-1.538184139546744,0.1832871689200853,0.7967672861647374,0.3710009550372112,0,Efficient Learner
8953,-0.4020967051376333,1666635211,1674337477,-0.1414367596823657,-0.3760408542926805,-1.0380940815605435,-0.076806322786166,0.9766634750090294,0.5712494646853049,1,Struggling but Trying
8956,-0.7334625927206938,1667741282,1674570091,0.1338317439659554,-0.3760408542926805,-1.4227787415499284,0.3427605506961813,0.9479310797414356,0.3710009550372112,0,Efficient Learner
