id,timemodified,userid,courseid,finalgrade,itemtype
318297,1669293412,8670,42,-1,mod
318296,1669293412,8670,42,-1,mod
318295,1669293412,8670,42,-1,mod
318294,1669293412,8670,42,-1,mod
318293,1669293412,8670,42,-1,mod
318292,1669293412,8670,42,-1,mod
318290,1669293412,8670,42,-1,mod
318287,1669293412,8670,42,-1,mod
318286,1669293412,8670,42,-1,mod
318285,1669293412,8670,42,-1,mod
318284,1669293412,8670,42,-1,mod
318283,1669293412,8670,42,-1,mod
318282,1669293412,8670,42,-1,mod
318281,1669293412,8670,42,-1,mod
318280,1669293412,8670,42,-1,mod
318272,1669293412,8670,42,-1,category
318271,1669293412,8670,42,-1,category
318270,1669293412,8670,42,-1,category
318269,1669293412,8670,42,-1,category
318268,1673965903,8670,42,8,course
318267,1671698508,8670,42,7,mod
318265,1669293412,8670,42,-1,mod
318263,1669293412,8670,42,-1,mod
318262,1669293412,8670,42,-1,mod
318261,1674413237,9227,42,9,mod
318260,1673952565,9227,42,10,mod
318259,1673519559,9227,42,9,mod
318258,1666863509,9227,42,2,mod
318256,1673952647,9227,42,10,mod
318255,1666691152,9227,42,8,mod
318248,1674412624,9227,42,9,mod
318247,1673441770,9227,42,9,mod
318246,1673441653,9227,42,9,mod
318245,1669293418,9227,42,-1,mod
318244,1669293418,9227,42,-1,mod
318243,1669293418,9227,42,-1,mod
318242,1669293418,9227,42,-1,mod
318240,1669293418,9227,42,-1,mod
318238,1669293418,9227,42,-1,mod
318236,1669293418,9227,42,-1,mod
318235,1669293418,9227,42,-1,mod
318232,1669293418,9227,42,-1,mod
318231,1669293418,9227,42,-1,mod
318230,1669293418,9227,42,-1,mod
318229,1669293418,9227,42,-1,mod
318228,1669293418,9227,42,-1,mod
318225,1669293418,9227,42,-1,mod
318224,1669293418,9227,42,-1,mod
318219,1669293418,9227,42,-1,mod
318218,1669293418,9227,42,-1,mod
318217,1669293418,9227,42,-1,mod
318216,1669293418,9227,42,-1,mod
318215,1669293418,9227,42,-1,mod
318214,1669293418,9227,42,-1,mod
318209,1669293418,9227,42,-1,mod
318208,1669293418,9227,42,-1,mod
318207,1669293418,9227,42,-1,mod
318206,1669293418,9227,42,-1,mod
318205,1669293418,9227,42,-1,mod
318204,1669293418,9227,42,-1,mod
318203,1669293418,9227,42,-1,mod
318202,1669293418,9227,42,-1,mod
318194,1669293418,9227,42,-1,category
318193,1669293418,9227,42,-1,category
318192,1669293418,9227,42,-1,category
318191,1669293418,9227,42,-1,category
318190,1674569681,9227,42,7,course
318189,1665474098,9227,42,8,mod
318188,1669293419,9452,42,-1,mod
318187,1674413138,9452,42,3,mod
318186,1674412985,9452,42,4,mod
318185,1667902925,9452,42,4,mod
318179,1669293419,9452,42,-1,mod
318176,1673276138,9452,42,7,mod
318175,1669293419,9452,42,-1,mod
