id,timemodified,userid,courseid,finalgrade,itemtype
344218,1674465401,8733,2331,0,mod
344217,1674465402,8690,2331,7,course
344216,1674465317,8690,2331,7,mod
344215,1674465090,9403,2002,-1,course
344214,1674465090,9403,2002,0,mod
344213,1674466029,9435,2348,9,course
344212,1674466029,9428,2348,9,course
344211,1674464468,9142,2756,8,course
344210,1674461729,9080,3095,10,course
344209,1674461729,9341,3095,10,course
344208,1674461729,7680,3095,10,course
344207,1674461729,9314,3095,10,course
344206,1674461729,9349,3095,10,course
344205,1674461729,8558,3095,10,course
344204,1674461729,9285,3095,10,course
344203,1674461729,9337,3095,10,course
344202,1674461729,9220,3095,10,course
344201,1674461729,8793,3095,10,course
344200,1674461729,9243,3095,10,course
344199,1674461729,8637,3095,10,course
344197,1674566051,9227,670,9,mod
344196,1674566021,9227,670,8,mod
344195,1674566333,9227,670,9,mod
344183,1674424486,9137,2289,8,course
344182,1674424486,9105,2289,9,course
344181,1674424486,9093,2289,8,course
344179,1674424486,9284,2289,8,course
344177,1674424485,9037,2289,9,course
344176,1674424485,9338,2289,8,course
344175,1674390875,9889,3072,-1,mod
344174,1674390875,9889,3072,-1,mod
344173,1674390875,9889,3072,-1,mod
344172,1674390875,9889,3072,-1,mod
344171,1674390875,9889,3072,-1,mod
344170,1674390875,9889,3072,-1,mod
344169,1674390875,9889,3072,-1,mod
344168,1674390875,9889,3072,-1,mod
344167,1674390875,9889,3072,-1,mod
344165,1674390875,9889,3072,-1,mod
344164,1674390875,9889,3072,-1,mod
344163,1673285874,9889,3072,7,mod
344162,1673283299,9889,3072,9,mod
344161,1674390875,9889,3072,-1,course
344158,1674390875,9862,3072,-1,course
344157,1674390875,9741,3072,-1,mod
344156,1674390875,9741,3072,-1,mod
344155,1674390875,9741,3072,-1,mod
344154,1674390875,9741,3072,-1,mod
344153,1674390875,9741,3072,-1,mod
344152,1674390875,9741,3072,-1,mod
344151,1674390875,9741,3072,-1,mod
344150,1674390875,9741,3072,10,mod
344149,1674390875,9741,3072,-1,mod
344147,1674390875,9741,3072,-1,mod
344146,1674390875,9741,3072,-1,mod
344145,1673285816,9741,3072,7,mod
344144,1673284203,9741,3072,9,mod
344143,1674390875,9741,3072,-1,course
344142,1674390875,9987,3072,-1,mod
344141,1674390875,9987,3072,10,mod
344140,1674390875,9987,3072,-1,mod
344139,1674390875,9987,3072,10,mod
344138,1674390875,9987,3072,-1,mod
344137,1674390875,9987,3072,10,mod
344136,1674390875,9987,3072,-1,mod
344135,1674390875,9987,3072,10,mod
344134,1674390875,9987,3072,-1,mod
344133,1670958895,9987,3072,8,mod
344132,1674390875,9987,3072,-1,mod
344131,1673284944,9987,3072,9,mod
344130,1674390875,9987,3072,-1,mod
344129,1673282398,9987,3072,9,mod
344128,1674390875,9987,3072,-1,course
344125,1674390875,9675,3072,-1,course
344124,1674390875,9295,3072,-1,mod
344123,1674390875,9295,3072,-1,mod
344122,1674390875,9295,3072,-1,mod
344121,1674390875,9295,3072,-1,mod
344120,1674390875,9295,3072,-1,mod
344119,1674390875,9295,3072,-1,mod
344118,1674390875,9295,3072,-1,mod
344117,1674390875,9295,3072,-1,mod
344116,1674390875,9295,3072,-1,mod
344114,1674390875,9295,3072,-1,mod
344113,1674390875,9295,3072,-1,mod
344112,1674390875,9295,3072,-1,mod
344111,1673284142,9295,3072,9,mod
344110,1674390875,9295,3072,-1,course
344108,1674576985,10026,2952,9,course
344106,1674422992,8813,1364,8,course
344105,1674422992,8769,1364,9,course
344104,1674422992,8822,1364,6,course
344103,1674422992,10150,1364,5,course
344102,1674422992,8648,1364,9,course
344101,1674422992,8572,1364,8,course
344100,1674422992,8771,1364,10,course
344099,1674422992,8812,1364,10,course
344098,1674422991,8311,1364,8,course
344097,1674422991,8824,1364,10,course
344096,1674422991,8655,1364,9,course
344090,1674556691,9874,2051,8,course
344089,1674422196,9874,2051,9,mod
344083,1674556691,9721,2051,9,course
344082,1674421918,9721,2051,9,mod
344081,1674420676,8813,1927,9,course
344080,1674420676,8769,1927,9,course
344079,1674420692,8822,1927,9,course
344078,1674420676,8648,1927,9,course
344077,1674420676,8572,1927,9,course
344076,1674420676,8771,1927,9,course
344075,1674420676,8812,1927,9,course
344074,1674420676,8824,1927,9,course
344073,1674420676,8655,1927,9,course
344072,1674420378,9996,2872,9,course
344071,1674562338,8941,2872,-1,course
344070,1674420378,10101,2872,10,course
344069,1674420378,10107,2872,10,course
344068,1674420378,9994,2872,9,course
344067,1674420378,8984,2872,9,course
344066,1674562338,8981,2872,9,course
344065,1674420378,9995,2872,9,course
344063,1674547619,9924,3133,9,course
344062,1674547619,9924,3133,9,mod
344059,1674466403,7006,2819,9,mod
344056,1674467055,7006,2819,9,course
344055,1674466810,7006,2819,9,mod
344054,1674576985,10117,2952,7,course
344050,1674555056,9834,3074,10,course
344049,1674555056,9834,3074,10,mod
344048,1674411596,7924,1980,-1,course
344047,1674411596,9881,1980,9,course
344046,1674411596,9882,1980,9,course
344045,1674411596,9770,1980,9,course
344044,1674411596,9682,1980,9,course
344043,1674411596,9825,1980,9,course
344042,1674411596,9899,1980,9,course
344041,1674411596,9902,1980,9,course
344040,1674411596,9905,1980,9,course
344039,1674411596,9885,1980,9,course
344038,1674411596,9901,1980,9,course
344037,1674411596,9858,1980,-1,course
344036,1674411596,9867,1980,-1,course
344035,1674411596,9894,1980,9,course
344034,1674411596,9873,1980,9,course
344033,1674411596,7608,1980,9,course
344032,1674411596,9872,1980,9,course
344031,1674411596,9795,1980,-1,course
344030,1674411596,9887,1980,9,course
344029,1674411249,9225,2003,-1,course
344003,1674403766,8616,2321,9,mod
344002,1674403766,8594,2321,7,mod
344001,1674403766,8733,2321,0,mod
344000,1667817088,8637,2321,5,mod
343999,1667817088,9091,2321,10,mod
343998,1667817088,8558,2321,9,mod
343997,1667817088,9318,2321,9,mod
343996,1667817088,8568,2321,9,mod
343995,1667817088,9107,2321,6,mod
343994,1674403627,8616,2321,10,manual
343993,1674403627,8594,2321,7,manual
343992,1674403627,8733,2321,0,manual
343991,1674403421,8616,2321,10,mod
343990,1674403421,8594,2321,8,mod
343989,1674403421,8733,2321,7,mod
343988,1674570083,8616,2321,10,course
343987,1674570083,8594,2321,7,course
343986,1674570083,8733,2321,2,course
343984,1674547516,9706,3133,9,course
343983,1674547516,9706,3133,9,mod
343981,1674467055,6985,2819,9,mod
343979,1674467055,6985,2819,9,course
343978,1674466396,6985,2819,9,mod
343976,1674547424,9840,3133,9,course
343975,1674547424,9840,3133,9,mod
343974,1674400353,9094,3113,10,course
343973,1674400353,9365,3113,9,course
343972,1674400353,9075,3113,9,course
