id,eventname,component,action,target,objecttable,objectid,crud,edulevel,contextid,contextlevel,contextinstanceid,userid,courseid,relateduserid,anonymous,other,timecreated,origin,ip,realuserid
9676,\core\event\grade_item_updated,core,updated,grade_item,grade_items,55,u,0,14,50,2,2,2,,0,"{""itemname"":""B\u00e0i ki\u1ec3m tra b\u00e0i 5 - hard"",""itemtype"":""mod"",""itemmodule"":""quiz""}",1761447459,restore,,
9677,\core\event\course_section_created,core,created,course_section,course_sections,20,c,1,14,50,2,2,2,,0,"{""sectionnum"":""3""}",1761447459,restore,,
9678,\core\event\course_section_created,core,created,course_section,course_sections,21,c,1,14,50,2,2,2,,0,"{""sectionnum"":4}",1761447459,restore,,
9746,\core\event\grade_item_created,core,created,grade_item,grade_items,56,c,0,14,50,2,2,2,,0,"{""itemname"":""Video b\u00e0i gi\u1ea3ng b\u00e0i 6"",""itemtype"":""mod"",""itemmodule"":""hvp""}",1761447459,restore,,
9747,\core\event\grade_item_updated,core,updated,grade_item,grade_items,56,u,0,14,50,2,2,2,,0,"{""itemname"":""Video b\u00e0i gi\u1ea3ng b\u00e0i 6"",""itemtype"":""mod"",""itemmodule"":""hvp""}",1761447459,restore,,
9748,\core\event\tag_added,core,added,tag,tag_instance,370,c,0,318,70,86,2,2,,0,"{""tagid"":""1"",""tagname"":""easy"",""tagrawname"":""easy"",""itemid"":86,""itemtype"":""course_modules""}",1761447459,restore,,
9749,\core\event\grade_item_created,core,created,grade_item,grade_items,57,c,0,14,50,2,2,2,,0,"{""itemname"":""Tr\u1eafc nghi\u1ec7m b\u00e0i 6 - easy"",""itemtype"":""mod"",""itemmodule"":""quiz""}",1761447459,restore,,
9750,\core\event\grade_item_updated,core,updated,grade_item,grade_items,57,u,0,14,50,2,2,2,,0,"{""itemname"":""Tr\u1eafc nghi\u1ec7m b\u00e0i 6 - easy"",""itemtype"":""mod"",""itemmodule"":""quiz""}",1761447459,restore,,
9751,\core\event\tag_added,core,added,tag,tag_instance,371,c,0,319,70,87,2,2,,0,"{""tagid"":""2"",""tagname"":""medium"",""tagrawname"":""medium"",""itemid"":87,""itemtype"":""course_modules""}",1761447459,restore,,
9752,\core\event\grade_item_created,core,created,grade_item,grade_items,58,c,0,14,50,2,2,2,,0,"{""itemname"":""B\u00e0i ki\u1ec3m tra b\u00e0i 6 - medium"",""itemtype"":""mod"",""itemmodule"":""quiz""}",1761447459,restore,,
9753,\core\event\grade_item_updated,core,updated,grade_item,grade_items,58,u,0,14,50,2,2,2,,0,"{""itemname"":""B\u00e0i ki\u1ec3m tra b\u00e0i 6 - medium"",""itemtype"":""mod"",""itemmodule"":""quiz""}",1761447459,restore,,
9754,\core\event\tag_added,core,added,tag,tag_instance,372,c,0,320,70,88,2,2,,0,"{""tagid"":""3"",""tagname"":""hard"",""tagrawname"":""hard"",""itemid"":88,""itemtype"":""course_modules""}",1761447459,restore,,
9755,\core\event\grade_item_created,core,created,grade_item,grade_items,59,c,0,14,50,2,2,2,,0,"{""itemname"":""B\u00e0i ki\u1ec3m tra b\u00e0i 6 - hard"",""itemtype"":""mod"",""itemmodule"":""quiz""}",1761447459,restore,,
9756,\core\event\grade_item_updated,core,updated,grade_item,grade_items,59,u,0,14,50,2,2,2,,0,"{""itemname"":""B\u00e0i ki\u1ec3m tra b\u00e0i 6 - hard"",""itemtype"":""mod"",""itemmodule"":""quiz""}",1761447459,restore,,
