state,action,q_value
0_3_True_1.00_1_0.00_0,Go_to_high_level,0.9542841177001041
0_3_True_1.00_1_0.00_0,Go_to_low_level,1.0485968102734144
0_3_True_1.00_2_1.00_2,Go_to_low_level,-0.5
0_2_True_1.00_2_0.00_2,Stay,0.5676
0_2_True_2.00_2_0.00_0,Go_to_high_level,3.6334118650233678
0_2_True_2.00_2_0.00_0,Stay,0.06570015283881087
0_2_True_2.00_2_0.00_0,Previous,0.13026041131503277
0_2_True_2.00_2_0.00_0,Go_to_low_level,0.6785014205755655
0_3_True_1.00_3_0.00_1,Go_to_low_level,0.277944411924112
0_3_True_1.00_3_0.00_1,Previous,2.090157222581934
0_2_True_1.00_1_1.00_1,Go_to_low_level,-0.29666250417666673
0_2_True_1.00_1_1.00_1,Next,3.3579682161765794
0_3_True_0.00_1_0.00_0,Go_to_high_level,7.847987328412317
1_2_True_1.00_2_1.00_1,Stay,-1.20557112
1_2_True_1.00_2_1.00_1,Go_to_high_level,0.21231720715855357
1_2_True_1.00_1_1.00_1,Previous,-0.8298635159943585
1_2_True_1.00_3_1.00_1,Next,2.0090211583708912
1_2_True_1.00_1_0.00_0,Go_to_low_level,1.917364830563883
1_3_True_1.00_2_1.00_1,Go_to_high_level,2.14659612264752
1_3_True_1.00_2_1.00_1,Go_to_low_level,-0.8564368212821877
1_3_True_1.00_2_1.00_1,Previous,-0.7840310490148927
1_3_True_1.00_2_1.00_1,Next,-0.01452403398206206
1_3_True_1.00_1_0.00_1,Go_to_high_level,0.0965600580048897
1_3_True_1.00_1_0.00_1,Next,1.9453947779836218
0_2_True_2.00_2_1.00_3,Go_to_low_level,-0.5
0_2_True_1.00_2_0.00_1,Next,4.42268398206914
0_2_True_1.00_2_0.00_1,Go_to_low_level,0.2766858189979087
0_3_True_1.00_1_1.00_4,Stay,0.023975857975631287
0_2_True_2.00_2_1.00_2,Go_to_low_level,-0.008244388275827852
1_3_True_1.00_3_0.00_1,Go_to_high_level,2.1292735403329326
1_3_True_0.00_2_1.00_1,Go_to_low_level,3.349604773492346
1_2_True_1.00_2_0.00_1,Stay,-1.0873420862440812
1_3_True_1.00_3_1.00_1,Next,4.359583475519296
1_3_True_1.00_3_1.00_1,Go_to_high_level,0.0005380020000000002
1_3_True_1.00_3_1.00_1,Go_to_low_level,-0.39482783904100005
2_1_False_2.00_0_0.00_3,Previous,-0.36
2_1_False_2.00_0_0.00_1,Go_to_high_level,1.718020794467036
2_2_True_1.00_3_1.00_1,Next,1.407532969470235
2_1_False_2.00_0_0.00_2,Stay,-1.0384339070406872
2_2_True_1.00_3_1.00_2,Go_to_high_level,0.8068032898279662
2_2_True_1.00_3_1.00_2,Go_to_low_level,-0.31000000000000005
2_1_False_2.00_0_0.00_4,Go_to_low_level,-0.5461721361524171
1_3_True_1.00_2_1.00_4,Stay,0.558741493410024
1_2_True_2.00_3_0.00_1,Next,0.9640000000000001
1_2_True_1.00_2_0.00_4,Go_to_high_level,2.995199796128463
1_2_True_2.00_2_0.00_4,Next,0.09000000000000001
1_2_True_2.00_2_0.00_0,Next,0.0
1_3_True_2.00_3_0.00_0,Next,-0.036000000000000004
1_2_True_2.00_2_1.00_0,Next,0.0
1_4_True_1.00_2_1.00_4,Next,1.0
1_2_True_2.00_2_1.00_3,Stay,-0.6964098000000001
1_3_True_2.00_1_0.00_3,Go_to_high_level,0.0
1_4_True_1.00_2_0.00_3,Previous,-0.441992398
1_4_True_1.00_2_1.00_3,Previous,-0.04122418232659153
1_3_True_1.00_2_0.00_1,Stay,-0.8969677761654199
1_3_True_1.00_2_0.00_1,Go_to_high_level,2.0717359957898487
1_1_False_2.00_0_1.00_0,Go_to_high_level,0.5726910210378162
1_1_False_2.00_0_1.00_0,Previous,-0.028782819979212722
1_2_True_1.00_2_1.00_0,Previous,1.3899905980535856
1_3_True_1.00_1_1.00_0,Stay,-2.040648906207795
1_3_True_0.00_3_0.00_0,Go_to_high_level,8.261182204453432
1_3_True_0.00_3_0.00_0,Go_to_low_level,-0.02831469591911917
1_3_True_0.00_3_0.00_0,Next,2.03198127282083
0_2_True_1.00_1_1.00_3,Stay,-0.5843109998938816
